Order,Description,Sector,Subsector,Stage,8- or 10-Digit HS Code
1239,"Gallium, unwrought; gallium powders",ICT,Semiconductors,Input,81129210
1240,"Indium, unwrought; indium powders",ICT,Semiconductors,Input,81129230
1131,Gas-tight biological safety cabinets,ICT,Semiconductors,Capital good,84147000
1132,"Parts of air or vacuum pumps, ventilating or recycling hoods, gas-tight biological safety cabinets",ICT,Semiconductors,Capital good,84149091
1133,"Heat exchange units, nesoi",ICT,Semiconductors,Capital good,84195050
1134,"Filtering or purifying machinery and apparatus for liquids, nesoi",ICT,Semiconductors,Capital good,84212900
1135,"Filtering or purifying machinery and apparatus for gases, other than intake air filters or catalytic conv. for internal combustion engines",ICT,Semiconductors,Capital good,84213901
1136,Parts for filtering or purifying machinery or apparatus for liquids or gases,ICT,Semiconductors,Capital good,84219901
1137,Machines and apparatus for the manufacture of boules or wafers,ICT,Semiconductors,Capital good,84861000
1138,Machines and apparatus for the manufacture of semiconductor devices or electronic integrated circuits,ICT,Semiconductors,Capital good,84862000
1139,Machines and apparatus for the manufacture of masks and reticles and for the assembly of electronic integrated circuits,ICT,Semiconductors,Capital good,84864000
1140,"Parts and accessories of the machines and apparatus for the manufacture of semiconductor devices, electronic integrated circuits and flat pa",ICT,Semiconductors,Capital good,84869000
1146,"Semiconductor media, smart cards",ICT,Semiconductors,Final,85235200
1147,"Diodes, other than photosensitive or light-emitting diodes",ICT,Semiconductors,Final,85411000
1148,"Transistors, other than photosensitive transistors, with a dissipation rating of less than 1 W",ICT,Semiconductors,Final,85412100
1149,"Transistors, other than photosensitive transistors, with a dissipation rating of 1 W or more",ICT,Semiconductors,Final,85412900
1150,"Thyristors, diacs and triacs, other than photosensitive devices",ICT,Semiconductors,Final,85413000
1151,Light-emitting diodes,ICT,Semiconductors,Final,85414100
1152,"Photovoltaic cells, not assembled in modules or made up into panels",ICT,Semiconductors,Final,85414200
1153,Photovoltaic cells assembled in modules or made up into panels,ICT,Semiconductors,Final,85414300
1154,"Other photosensitive semiconductor diodes, other than light-emitting",ICT,Semiconductors,Final,85414910
1155,Other photosensitive semiconductor transistors,ICT,Semiconductors,Final,85414970
1156,Optical coupled isolators,ICT,Semiconductors,Final,85414980
1157,"Other photosensitive semiconductor devices, other than diodes or transistors, nesoi",ICT,Semiconductors,Final,85414995
1158,"Other semiconductor-based transducers, other than photosensitive transducers",ICT,Semiconductors,Final,85415100
1159,"Other semiconductor devices, other than semiconductor-based transducers, other than photosensitive devices, nesoi",ICT,Semiconductors,Final,85415900
1241,"Parts of diodes, transistors, similar semiconductor devices, photosensitive semiconductor devices, LED's and mounted piezoelectric crystals",ICT,Semiconductors,Input,85419000
1160,Electronic integrated circuits: processors and controllers,ICT,Semiconductors,Final,85423100
1161,Electronic integrated circuits: memories,ICT,Semiconductors,Final,85423200
1162,Electronic intergrated circuits: amplifiers,ICT,Semiconductors,Final,85423300
1163,Electronic integrated circuits: other,ICT,Semiconductors,Final,85423900
1242,Parts of electronic integrated circuits and microassemblies,ICT,Semiconductors,Input,85429000
1141,"Instruments and apparatus for measuring or checking electrical quantities, nesoi: for measuring or checking semiconductor wafers or devices",ICT,Semiconductors,Capital good,90308200
1243,Printed circuit assemblies for subheadings and apparatus of 9030.40 & 9030.82,ICT,Semiconductors,Input,90309066
1244,"Printed circuit assemblies, NESOI",ICT,Semiconductors,Input,90309068
1142,"Parts and accessories for instruments and apparatus for measuring or checking semiconductor wafers or devices, nesoi",ICT,Semiconductors,Capital good,90309084
1143,Optical measuring/checking instruments/appliances for inspecting semiconductor wafers/devices or photomasks/reticle used to mfg such devices,ICT,Semiconductors,Capital good,90314100
1144,Optical instrument & appliance: to inspect masks (not photomask) used to mfg semiconductor devices; to measure contamination on such devices,ICT,Semiconductors,Capital good,90314970
1145,Electron beam microscopes fitted with equipment specifically designed for the handling and transport of semiconductor devices or reticles,ICT,Semiconductors,Capital good,90318040
